"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2022","629.9677","633.9352","648.2759","626.8551","","-0.63%"
"09/20/2022","633.9353","634.1593","639.5433","627.7030","","-0.04%"
"09/19/2022","634.1593","631.5807","635.7003","617.1384","","0.41%"
"09/16/2022","631.5807","632.9392","637.2299","627.4507","","-0.21%"
"09/15/2022","632.9392","653.9058","656.1312","629.9862","","-3.21%"
"09/14/2022","653.9340","651.6183","658.3749","642.6164","","0.20%"
"09/13/2022","652.6094","656.6442","664.1717","644.4228","","-0.77%"
"09/12/2022","657.6593","648.8247","662.3750","642.9441","","1.20%"
"09/09/2022","649.8900","632.7995","651.0579","631.2551","","2.54%"
"09/08/2022","633.8049","630.0814","636.2384","627.2247","","0.45%"
"09/07/2022","630.9653","647.6579","652.8051","629.6929","","-2.58%"
"09/06/2022","647.6579","651.4504","664.5215","645.5741","","-0.58%"
"09/02/2022","651.4505","648.8166","660.4212","648.0189","","0.41%"
"09/01/2022","648.8166","665.9277","665.9277","646.3679","","-2.57%"
"08/31/2022","665.9277","676.1042","682.9259","661.7776","","-1.51%"
"08/30/2022","676.1042","702.2286","702.2286","671.1210","","-3.72%"
"08/29/2022","702.2286","688.9633","703.1581","686.0081","","1.93%"
"08/26/2022","688.9634","683.9437","692.8152","680.3358","","0.73%"
"08/25/2022","683.9437","691.7416","697.7974","683.0184","","-1.13%"
"08/24/2022","691.7416","684.9128","692.8063","683.3224","","0.99%"
"08/23/2022","684.9276","672.3314","690.3260","672.3314","","1.87%"
"08/22/2022","672.3314","670.0639","675.5695","655.7797","","0.33%"
"08/19/2022","670.0947","665.5502","673.7411","655.4387","","0.68%"
"08/18/2022","665.5502","657.5500","669.2762","655.2099","","1.22%"
"08/17/2022","657.5500","652.1956","660.6423","650.0035","","0.82%"
"08/16/2022","652.1956","659.5318","665.7617","649.4840","","-1.11%"
"08/15/2022","659.5319","672.6854","672.6854","647.5420","","-1.96%"
"08/12/2022","672.6855","677.6066","679.6355","666.5290","","-0.73%"
"08/11/2022","677.6066","662.7451","679.6432","661.0364","","2.05%"
"08/10/2022","664.0143","653.8783","665.6068","646.4166","","1.35%"
"08/09/2022","655.1594","649.5118","663.1884","646.4482","","0.68%"
"08/08/2022","650.7186","647.8914","651.8155","637.4427","","0.22%"
"08/05/2022","649.2679","648.1715","656.6596","638.6145","","-0.03%"
"08/04/2022","649.4694","656.8371","661.5950","645.9240","","-1.12%"
"08/03/2022","656.8371","666.9796","677.5748","653.7554","","-1.52%"
"08/02/2022","666.9796","671.6855","675.4641","661.8825","","-0.70%"
"08/01/2022","671.6855","692.6372","692.6372","663.7574","","-3.02%"
"07/29/2022","692.6372","683.9239","705.2564","683.0845","","1.27%"
"07/28/2022","683.9239","683.9869","696.0348","682.3061","","-0.01%"
"07/27/2022","683.9869","674.3744","686.0560","671.4442","","1.43%"
"07/26/2022","674.3744","672.8023","687.8525","671.1214","","0.23%"
"07/25/2022","672.8023","663.4476","673.3718","655.9716","","1.41%"
"07/22/2022","663.4476","665.6539","673.9671","657.1456","","-0.33%"
"07/21/2022","665.6539","681.8949","681.8949","656.2463","","-2.38%"
